OutcomeCategory,Business Outcome,IT Outcome,Key Performance Indicator(s),Domain,Capability,Use Case,Use Case Description,Products,Originator,Country,Customer,Delivered?,Outcome Category,Sector,Item Type,Path
"Business Alignment, Improve Quality, Reduce Risk","Quicker and better controlled payment process.

Full governance and reconciliation of invoices versus orders.

Risk reduction of extra payments.","Name: Higher quality of Order and Invoice Management process

Description: Capability to govern a complex process like order and invoice management ensuring control of various platform integration and data exchange.

Value: Improved quality of the overall process, reducing time to process invoices and reconciling orders with reduced errors.","- Improve # of issued orders vs # of approved invoices; 
- Reduce # of financial penalties",Continuous Operations,Asset Management,Procurement Management,"As a IT Procurement

I want a full automation and governance for end-to-end integration of the Order and Invoice Management process.

So that we can guarantee full control of external providers invoice payment and order-invoice reconciliation.",AMX,#NAME?,NSE,GSE,Project,#NAME?,Energy,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Improve Quality, Reduce Risk","Name: Security compliance

Description: Provide centralized governance in a highly regulated customer, by ensuring data quality and unified process.

Value: Reduce risk","Name: Unified fulfilment Requests

Description: Enable the fulfilment of employees NON-IT requests reducing manual tasks in an efficient and effective manner.

Value: Improve service support teams efficiency (number of tickets and time to resolve), automating whole fulfilment request process.","- Reduce # of classified data breaches; 
- Reduce time to complete a service request",Continuous Operations,Request fulfilment,Service Requests fulfilment,"As a Service Owner

I want a solution to manage service and support requests workflows related to classified furniture, appliances, phones, real estate into a managed IT process.

So that I can have a centralized and consolidated governance of real estate and fault support requests.",SMAX,#NAME?,"NSE, EMERGING",#NAME?,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost, Reduce Risk","Name: Meeting rooms management efficiency and resilience

Description: Provide end users with a quality service of meeting rooms and related equipment to allow efficiency and compliance (including physical safety). Also time to resolve issues and requests has improved strongly giving end users minimal impact on their business activities.

Value: Simplicity and quality.","Name: Governance of room equipment management process

Description: Enable the full traceability of maintenance and usability of meeting rooms for an easy management of usage and equipment of them.

Value: improve maintenance efficiency of rooms management and provide end users with better quality and usability of meeting rooms.","- Reduce cost of meeting rooms management; 
- Reduce # of unsatisfied business user requests",Continuous Operations,Change Management,Manage meeting rooms inventory and maintenance,"As a facility manager

I want to fully govern my company meeting rooms including all electronic devices and supplies inside the room.

So that I can have a centralized and consolidated governance of rooms and their contents.",SMAX,#NAME?,NSE,Large European Government,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost, Reduce Risk","Operational cost reduction.

National regulation compliance.","Name: Discovery and tracking of critical devices

Description: Unified and trusted Asset Inventory with tracking capability for critical assets of electricity station distributed in hundred of sites.

Value: Improved speed for discovering, tracking and acting on management of critical devices spread out across the whole country territory.","- Reduce MTTR (Mean Time to Repair) for critical assets; 
- Improve availability of PSNC devices",Continuous Operations,Configuration Management,Asset and configuration relation,"As a Service Owner

I want to have the capability to discover critical assets, networks and devices of sensible areas like defense and track integrating with location dictionary.

So that I can provide immediately devices configuration and location and speed any needed action of the device.",uCMDB,"- Alessio Livi, 
- Lorenzo Ferigo, 
- Giuseppe Boccuti",NSE,Terna,Project,#NAME?,Energy,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Reduce Risk","Name: Asset risk management and TCO

Description: Ensure full governance of asset lifecycle to a centralized team to respond quickly to any need of identification, tracking and audits for compliance regulations. Reduce cost of management of complex goods in a large and heterogeneous environment.

Value: Reduce risk of audit compliance failures, improving efficiency of centralized tracking team to manage growing environments with same team size.","Name: Improve asset management efficiency

Description: provide full management of asset lifecycle with discovery, qualification and tracking of goods using centralized approach and RFID to provide one solution to provide quick and updated information on all company goods.

Value: Reduce effort and TCO of managing compliance and audits.",#NAME?,Continuous Operations,Asset Management,State assets management,"As an Asset manager

I want a solution to manage delivery, inventory, maintenance and financials for device property in the company.

So that I can have a centralized safekeeping and full traceability of all goods.",AMX,#NAME?,NSE,Large European Government,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risk",IT processes are compliant with privacy regulations reducing the risk of fines and reputational damage to the company.,"Test data creation is fast, automated, cloneable and reusable – saving costs of resources and staff.","- Reduce % of costs for delivery activities; 
- Improve # of new products or services; 
- Improve % availability / performance for owned service; 
- Improve % of relevant digital services",Continuous Deployment,Test Management,Provide Realistic Test Data,"As a CISO

I want a capacity to create test data that simulates the production environment, quickly, consistently and compliantly enabling real testing.

So that I can improve the speed of testing and reduce risk by limiting liability from data breaches.",Voltage,James Revill,UK&I,London Markets,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risk","Description: Business-to-business data transfers are compliant and protected from breaches

Value: Maintain strong reputation as a secure business.","Description: Protect the contents of files by masking and anonymization

Value: Data transfers are secure from data loss or breaches","- Reduce # of security risks; 
- Reduce % of costs for delivery activities",Consume,Governance,Protect data content transferred between businesses,"As a CISO

I need the capacity to anonymize or mask the contents of files being sent outside my business.

This means that should the files fall into the wrong hands they will be unusable and remain protected.",Voltage,Ashley Bill,UK&I,Norges Bank,Project,"- Improve Quality;
- Reduce Risks",Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost, Reduce Risk","Name: Optimize Return of Investment

Description: Establish a self-governing, cost-conscious culture that assures companies finance are well managed and use of companies financial resources are optimized. Investments provide for a Return of Investment.

Value: Optimize use of assets and resources.","Name: Optimize Service Quality & Infra Resilience through measurement and visualization

Description: Provide an objective view on actual IT performance, capacity and availability through a dashboarding solution bridging IT and Non-IT audiences. It serves as input to the quality and Capacity improvement activities.

Values:
-Rightsizing Infrastructure
-Detect Weak points
-Stabilizing of Services","- Improve % of availability / performance improved for delivered service; 
- Improve % of Service Reliability; 
- Improve % of Service Health improved",Continuous Operations,Service Monitoring,Stabilise and Improve Service Health,"As head of IT

I want to have real-time view of my IT environment status, usage and capacity.

So that I can make bold decisions to ensure stable Service delivery.",OPSB,"- Matthias Hennig, 
- Peter Gotthardt, 
- Michael Gross, 
- Andreas Blockisch",DACH,ECB,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,"Name: Enable focus on core business

Description: Optimizing the costs by transforming the manual work to more digitalized services.

Value:
- Increased Compliance Score
- Optimized Value Streams and Processes
- User satisfaction
- Optimized ROI","Name: Orchestrate and automate digital services

Description: Integrate activities throughout the service fulfilment process, to support a successful fulfilment (orchestration) in such a way that the requested service offering are made available for consumption for consumers.

Value:
- Improved IT service delivery
- Improved deployment
- Automate fulfilment requests","- Improve % of Operational Excellence; 
- Reduce % of costs for delivery activities; 
- Improve Customer Satisfaction (NPS, MTTR, MTBSI, MTBF, MTTF); 
- Improve $ of TCO and $ price of digital products / services; 
- Reduce # of OPEX and CAPEX; 
- Improve % of output / productivity of operations",Continuous Operations,Fulfilment Orchestration,Automate Request fulfilment,"As IT Manager

I want to orchestrate digital services throughout my company.

So that I can help my organisation to be successful in their transformation to automated digital services, reduce manual effort by process automation and simplify the request and fulfilment process.",Cross Portfolio,#NAME?,DACH,Debeka,Project,Business Alignment,Healthcare,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,"Name: Improve Vehicle Plate Service Information Sharing

Description: Users from different police agencies can request and use data in an efficient and secure manner.

Value: No police agents are required to attend requests (FTE savings). City Halls will increase the number of fines.","Name: E2E Secure Exchange Information

Description: The consultation of data is fully delegated to the users of the different police agencies, according to their profiles, guaranteeing the security of the data and the E2E process.

Value: Self-service reduces manual intervention, reducing IT investment.","- Increase # of accesses; 
- Reduce # of manual requests ; 
- Increase # of fines",Consume,Identity Management,Secure License Plate Sharing,"As a Chief Security Officer

I want to allow a secure access to vehicle license plates and owner information to the Local Police Departments

So that we accelerate offender identification and reduce the number of infractions without penalties.",NetIQ,Samuel Chapa,NSE,Guarda Civil,Project,Reduce Cost,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Grow Revenues,"Name: Increase Customer Experience and Loyalty

Description: Increase petrol consumption in the Petrol Stations through easy payment with customer’s Payment App,  authorized for use by all major credit card companies, increasing business

Value: Brand Protection, increase loyalty and satisfaction","Name: Compliance and Data Security

Description: Strongest E2E Encryption Platform without Token Table Data Base. Encryption of Transaction Files. 

Value: GDPRS + PCIDSS (EU) compliance, brand protection, reduce risk for fines – mandatory for VISA/AMEX ",Improved # of Encrypted Payment Transactions,Continuous Compliance,Data Protection,Protect Credit Card Information in E-Wallet,"As a CISO

I want to protect my customers credit card information that they have added to an e-wallet on their phone,

So that my customers, can use that app to pay in my Petrol Stations which will increase their satisfaction and loyalty. ",Voltage,Raul Montoya,NSE,Choose Option,Project,Grow Revenues,Energy,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,"Name: Improve Accuracy of Printer Services consumption and billing

Description: Ensure departments are appropriately charged for their printing services consumption. Cost control.

Value: Zero printed pages unbilled","Name: Accurate Printing Inventory and Status

Description: Identify printers deployed and not billed. Efficient tracking of printing services consumption.

Value: Zero printers un-identified and not considered for billing.","- Zero printed pages unbilled; 
- Zero printers un-identified",Consume,Financial Management,Improve Printing Services Financials,"As a Financial Manager

I want to understand what printers are deployed and working, what is the consumption of the different printing services per department,

So that I’m able to bill them according to their consumption and improve accuracy and predictability of the billing to the different departments and understand the cost of my printing services to use for further improvement ",uCMDB,Francisco Javier Valencia,NSE,Inditex,Project,Reduce Cost,Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost, Reduce Risk","Name: Optimize Costs

Description: Higher availability of business services which leads to better service quality, higher business performance, better customer experience and reduced operational cost.

Value:
- Reduction of operational cost for first and second level support
- Reduced costs by reducing system outages
- Reduced costs by reducing outages of critical business applications","Name: Improve IT Service Management

Description: Establish central event management solution to support ITSM processes with a comprehensive Service Status overview, root-cause-analysis and event-correlation.

Value:
- Improve the detection of important root cause events that need immediate focus from the support groups
- Improve the routing of events to the right resolver groups
- Improve the speed of discovering the business impact and the selection of appropriate actions to execute
- Reduction of incidents to be handled at the helpdesk","- Improve $ of ROI; 
- Improve % of Service Availability; 
- Improve % of Service Performance; 
- Improve # of Compliance Score points; 
- Improve % of User Satisfaction",Continuous Operations,Event Management,Single Pain of Glass,"As a Service Delivery Manager

I want a consolidated view of service performance and availability.

So that I can save costs by reduction of the number of incidents and the mean-time to repair (MTTR).",OPSB,"- Maike Bertow, 
- Michael Gross, 
- Andreas Schnur
- Reiner Buehl",DACH,Bosch,Project,#NAME?,Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Improve Quality, Reduce Cost, Reduce Risk","Name: Compliance

Description: Compliance violation (unsupported software) was removed.

Value: Improve compliancy.","Name: Improve IT Service Deployment

Description: Modernizing IT Monitoring through migrating and expanding to the latest data lake solution. Improve observability through a consolidated view on infrastructure and services.

Value:
- Software compliance is maintained
- Risks of vulnerabilities are reduced
- Latest software features become available for innovations",Improve % ofNOC/SOC staff satisfaction and happiness,Continuous Insight,Event Management,Collect and centralize monitoring data,"As a Operations Management owner

I want to have a consolidated data lake architecture that is reliably filled with monitoring data

So that I can support service operations and have the foundation to develop additional monitoring innovations.",OPSB,Matthias Hennig,DACH,Swiss Post,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost, Reduce Risk","Name: Optimize Value Streams and Processes

Description: Improving the data basis for well-founded decisions in the service planning process.

Value:
- Reduction of overspending on provided capacity
- Improving speed for creation of new and extended services
- Optimizing existing services","Name: Improve Service Reliability

Description: Establish Data Lake to support ITSM processes with a comprehensive long term reporting solution for availability and performance data. 

Value:
- Improve IT capacity planning with long-term reporting data
- Improve root cause analysis with consolidated reports from network and system management
- Improve problem management with historical data to analyse incidents - Reduce mean time to repair (MTTR)","- Improve % of Customer Satisfaction (NPS, MTTR, MTBSI, MTBF, MTTF); 
- Improve % availability / performance improved for owned service",Continuous Operations,Event Management,Troubleshoot Performance Issues,"As Service Owner

I want to have custom dashboards with service related long-term data.

So I can make informed decisions in service design and capacity planning processes.",OPSB,#NAME?,DACH,Bosch,Project,#NAME?,Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Improve Quality, Reduce Cost, Reduce Risk","Name: Optimize Value Streams and Processes

Description: Establish an agile customer organization that consistently provides outcome and value to the business

Value:
- Increased Business Agility
- Faster Time to Value
- Optimized ROI
- Optimized Costs
- Risk mitigation","Name: Improve Route-to-Live Cadence

Description: Switch to agile development methodology with sets of rules, standards and best practices related to the development pipeline, from coding and building through testing and release. Improving the route-to-live cadence.

Value:
- Deliver (new) digital services in full on time
- Improving the route-to-live cadence
- Optimized Value Streams and Processes
- Increased development process transparency","- Improve % of Customer satisfaction and retention; 
- Improve # of new idea's / enhanced products or services; 
- Reduce % of costs for delivery activities; 
- Improve % of service delivery staff attrition; 
- Improve % of delivery staff satisfaction and happiness",Continuous Planning,Release Composition,Transform Organisation for Agile Development,"As Service Manager

I want to transform my organisation to implement requirements faster by switching to an agile implementation approach.

So that I am able to fulfil business requirements faster, optimize efficiency in development cycles and collaborate closer with the business.",SM9,#NAME?,DACH,Toll Collect,Project,#NAME?,Logistics,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Improve the availability and reliability of business services, thus improving the productivity of business processes and thus profit and customers experience.",Completeness of the Configuration Management System to be consumed by many enterprise service management practices and assure better service levels and compliance.,"- Reduce % of deviation from the real corporate asset in use ;
- Improve service management practices; 
- reduce compliance risks",Continuous Operations,Configuration Management,Improve CMS discovery from standalone systems.,"As the Configuration Manager

I want to synchronize the real time available IP ranges from the network IPAM domain to the CMDB discovery parameters, enabling the discovery of that information and the automatic inclusion in my single source of truth (the CMDB)

So that I improve the completeness of the service models and make this available to all consumers of the CMS (not just the network team) ",uCMDB/UD,Soren Hansen,NSE,Sykehuspartner,Project,Improve Quality,Healthcare,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,"Minimize business impact caused by important programs that did not deliver outcomes in the right quality, at the right time for the right cost.","Name: Improve [IT] Portfolio Management

Description: Automated and centralized integration between technologies to increase the governance of the IT portfolio giving the ability to monitor the overall project portfolio progress and quality for both waterfall and agile projects. 

Value: Optimizing the Value Streams and Processes to reduce the risk of projects overrun, quality drops and cost increase.","Improve % of projects with regards to quality, outcome, time and budget",Continuous Planning,Governance,Optimize Program Management,"As the Program Manager

I want all available information about my programs and projects to be consolidated and synchronized in “one single source of truth” enabling the governance the progress, resources, outcomes and quality for both waterfall and agile projects.

So that I can improve the completion of important programs on time, delivering the outcomes as requested on time whiles reducing the risk of negative impact on the business and increase in cost.",PPM,Alessandro Baiocchi,NSE,UniCredit,Project,Business Alignment,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,"Minimize business impact caused by important programs that overrun budget, thus reducing ROI.","Name: Manage IT Cost

Description: Enable the proactive management and monitoring of [IT] costs within the organisation, reduce costs.

Value: Optimize Value Streams and Processes by comparing planned costs with actual costs.",Improve % of projects that stay within budget,Continuous Planning,Governance,Compare Actual against Planned Project Cost,"As Program Manager

I want to compare actual cost of projects activities to against planned costs.

So that I can take actions to avoid budget overrun and capture lessons learned for next budget activities.",PPM,Alessandro Baiocchi,NSE,UniCredit,Project,Business Alignment,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,Optimize Return of Investment.,"Name: Improve [IT] Portfolio Management

Description: Situational awareness of portfolio effectiveness and improve project observability. 

Value: Get insights into overall project performance through trend analysis.",Improve % of healthy projects,Continuous Planning,"Program, Project, and Management",Project Management Dashboard,"As a Program Manager

I want to maintain a project management dashboard (real-time and with historical information) showing typical project management KPIs enabling me to monitor (real time) and compare (historical) the health of my projects.

So that I can improve the health of my projects, improving ROI and reducing risks to the business and it’s reputation.",PPM,Alessandro Baiocchi,NSE,UniCredit,Project,Business Alignment,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,"Improve productivity of business applications, aligning to business objectives, customer satisfaction and growth.","Name: Improve [IT] Service Development

Description: Optimize Value Streams and Processes. Continuous Improvement.

Value: Proactively minimise risk and improve efficiency, ensuring the success of development initiatives.",Reduce % of defects,Continuous Integration,Test Management,Monitor Testing Quality,"As a Project Manager

I want to receive quality metrics in the program dashboard assuring planning, development and testing of all requirements is done at the right quality.

So that I reduce the number of defects in applications that are deployed, reducing risks of unavailability of business applications, causing reductions of productivity.",PPM,Alessandro Baiocchi,NSE,UniCredit,Project,Business Alignment,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,"Name: Optimize Value Streams and Processes

Description: Establish a self-governing, cost-conscious culture that promotes the continuous improvement of practices, policies, value chains and centre of excellences applied, to manage the lifecycle of digital products and services.

Value:
- Governance and sustainability
- Continuous Improvement
- Establish a Learning Organization
- Establish an innovative culture","Name: Improve [IT] Service Development

Description: Integrate activities throughout the development process, to support the creation of a seamless connection between development, testing, and operation; proactively minimise risk and improve efficiency, ensure the success of development initiatives.

Value:
- Improve Product Quality
- Improve Requirement Management
- Agile response to business needs","- Improve $ of Return of Investment, $ value and payback time; 
- Improve % of increased output / productivity of technology; 
- Improve % of functionalities; 
- Reduce % of developmental waste; 
- Improve # of frequency of deployments of services and functionalities",Continuous Planning,"Program, Project, and Management",Agile Enablement,"As a Release Train Engineer

I want better coordination and alignment of feature development across the agile release trains

So that features can be completed and released more quickly.",Cross Portfolio,#NAME?,DACH,Debeka,Project,Business Alignment,Healthcare,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Name: Reduce operational cost.

Description: Maintain market reputation by avoiding audit and regulatory risk. Reduce operational costs by not having to employ additional heads.

Value: Mitigate audit risks. Reduce cost of service delivery.","Name: Reduce service cost

Description: Establish set of processes to gain insights into service delivery operations, focusing on identifying and mitigating commercial risks and unnecessary costs.

Value: Mitigate audit risks. Reduce cost of service delivery.","- Improve % of SLA Targets met; 
- Reduce $ of Operating Costs 
– Overheads",Continuous Operations,Service Level Management,Track service quality,"As the Client Services team manager,

I want to monitor and track the performance of my team.

So that transaction and instruction requests are handled within the SLA timeframes.",SBM,Alex Gilkes,UK&I,Irish Life Investment Management,Project,Improve Quality,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Name: Improved cost-of-compliance

Description: Provide controlled and auditable workflows to enforce company standards and best practices, and to provide notification of outstanding actions.

Value: Velocity of change increased.","Name: Journey to zero defects

Description: A tailored workflow to manage and control change to existing design. Incorporates a series of approval gates to meet quality standards and regulatory compliance.

Value: Quality improved",Improve % of Service availability and continuity both on business and IT levels,Continuous Operations,"Program, Project, and Management",Engineering quality and compliance,"As an aviation engineering business

I want to integrate a robust change control process that upholds our safety standards.

So that we solidify our reputation for high-quality, compliant aviation products and instil greater confidence among our customers.",SBM,Alex Gilkes,EMERGING,Martin Baker,Project,Improve Quality,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,#NAME?,#NAME?,Reduce # Cyber Attacks,Continuous Deployment,Identity Management,Improve Identity Lifecycle Management,"As the CISO

I want to establish an certified, secure, identity management system that provides audit trails across my organization having a single point of administration for identities and accountability

So that I improve identity lifecycle management avoiding unauthorized access to companies' premises, assets IP, knowledge, IP and any data.",NetIQ,"- Karsten Weimann, 
- Norbert Klasen;
- Hildo Krop, 
- Leo de Ridder",NSE,DHL,Project,Reduce Cost,Logistics,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,#NAME?,#NAME?,Reduce # Cyber Attacks,Continuous Deployment,Identity Management,Improve Identity Lifecycle Management,"As the CISO

I want to establish an certified, secure, identity management system that provides audit trails across my organization having a single point of administration for identities and accountability

So that I improve identity lifecycle management avoiding unauthorized access to companies' premises, assets IP, knowledge, IP and any data.",NetIQ,"- Karsten Weimann, 
- Norbert Klasen;
- Hildo Krop, 
- Leo de Ridder",NSE,Continental AG,Project,Reduce Cost,Automotive,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,#NAME?,#NAME?,Reduce # Cyber Attacks,Continuous Deployment,Identity Management,Improve Identity Lifecycle Management,"As the CISO

I want to establish an certified, secure, identity management system that provides audit trails across my organization having a single point of administration for identities and accountability

So that I improve identity lifecycle management avoiding unauthorized access to companies' premises, assets IP, knowledge, IP and any data.",NetIQ,Joe Schafer,AMS,Wright - Pad Credit Union,Project,Reduce Cost,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,#NAME?,#NAME?,TBD,Continuous Deployment,Identity Management,Self-service for file shares and related permissions ,"As the Security Officer 

I want to assure that files are available for anyone who requests access and sharing while maintaining the confidentiality and integrity of the information. 

So that I have established a compliant and efficient system to share and manage access to files in our organization and have structured request and approval processes including documentation, audit and reporting.",NetIQ,#NAME?,DACH,Wacker Chemie,Project,Reduce Cost,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,#NAME?,#NAME?,TBD,Continuous Compliance,Governance,License usage review,"As the Asset Manager 

I want to review and verify the usage and consumption of expensive software licenses in regular intervals.

So that I have a clear view on used, needed and unused licenses, optimize license models and minimize license costs.",NetIQ,#NAME?,DACH,Continental AG,Project,Reduce Cost,Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,Cross Department Collaboration.,SaaS Solution with multiple SSO integrations – a PPM solution accessible country wide via the web.,TBD,Continuous Planning,"Program, Project, and Management",Government cross-department collaboration,"As a Government

I want departments to collaborate on projects in a pan-government space.

So that risk is mitigated and cost streamlined and departments become more closely aligned, rather than silo’d.",PPM,#NAME?,UK&I,Large European Government,Project,Business Alignment,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,"Name: Asset Management Standardisation & Consolidation

Description: We want to be able to achieve better Business Insights and Operational Efficiencies through a consolidated and standardised Asset Management platform.

Value: This will enable better visibility and management of our Assets and more control over our Compliance position.","A consolidated and standardised Asset Management platform through:
- Asset definition
- Data modelling Standardisation of organisational processes
- The implementation of a new Asset Management solution across the organisation.

This will enable a more streamlined and consistent Asset Management Platform, providing cost efficiencies in operate and run and saving cost by consolidating multiple asset management platforms, processes and teams.","- Reduce % of Software Asset Lifecycle Cost; 
- Improve $ of Software Licence Compliance Rate; 
- Improve % of Operational Cost; 
- Reduce % of Asset Management Service Cost ",Continuous Compliance,Asset Management,Transformation to a converged Asset Management Service,"As an IT Operations Director

I want to improve my compliance position, visibility, efficiency and reduce cost.

So that I can optimise cost and efficiency across the whole organisation.",AMX,Gary Shrubb,UK&I,Large European Government,Project,Business Alignment,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,"Name: Tax calculation management

Description: A technology based solution required to trades. To calculate withholding tax at high trading volumes, not only to manage volumes but also to provide reports on the trades and tax calculations when required.

Value: To comply with German tax laws","Name: Trade transaction monitoring

Description: Provide an service platform that logs tax calculation requests in real time for trades where German Withholding Tax applies","- Improve % of Data retention; 
- Reduce % of Time to capture",Continuous Insight,Financial Management,Monitor Real Time Transactions,"As a Tax Reporting Specialist

I want a technology based solution to track any trades that require Withholding Tax for a branch of entities.

So I can track the tax calculations in real time and report on this as required.",SBM,Matthew Bunyard,UK&I,Deutsche Bank,Project,Business Alignment,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,"Improve quotation process

Transform the quotation process for to increase the volume of quote, reduce the time to quote, improve quote quality and increase the volume of quote requests.","Improved service response

Provide a best in class RPA solution to query data in real time to provide fast quote times","- Reduce $ of time to quote; 
- Reduce # of errors; 
- Improve $ of Revenue",Continuous Operations,Request fulfilment,Real time information capture for quoting,"As a Insurance Sales Agent

I need a solution to enable automated data capture throughout the quotation process.

So I can minimise any data entry errors throughout the quotation process, and increase the mean time to respond to quotes; allowing me to produce more quotes and ultimately generate more revenue.",RPA,Matthew Bunyard,UK&I,BISL,Project,Business Alignment,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks","Name: Reduced applications downtime

Description: Reducing the occurrence and duration of business service outages, thereby improving customer productivity and experience

Value: Increased productivity and experience
","Name: Automated Cloud Discovery and Service Modelling

Description: Automated Service Modelling enables you to model and maintain the infrastructure of a business service 

Value: Automated Relationship Mapping Process Efficiency","- Reduce MTTR; 
- Improve MTBSI",Continuous Operations,Configuration Management,Improve Service Model accuracy,"As a Practice Manager (Incident, Change, Problem, Release), 

I want a capability that will create total observability which make the business impact analysis of an Incident, Change, Problem or Release effective and efficient - thanks to availability of Service Models - in order to improve IT operational efficiency

So that we can improve the reliability and availability of business services and thus improve customer experience and business outcomes.",uCMDB,Jimmy Rousseau,GALLIA,Bureau Veritas,Project,"- Improve Quality, 
- Reduce Risks",Technology,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Risk, Grow Revenues","Name: Increase company revenue and reduced GDPR compliance risk

Description: Enabling commercial use of customer experience data to an external eco-system while being compliant with regulations and laws

Value: Avoid GDPR fines and brand damage","Name: Automate specific Data Encryption

Description: Reduce the manual tasks to anonymize data - by encrypting it in an efficient manner - maintaining the consumption of that data for commercial purpose - enabling GDPR Compliance to avoid penalties and brand damage

Value: Reduce manual labour, moving people from low value tasks to high value tasks",Reduce reputational risk,Continuous Compliance,Data Protection,Anonymize data that is for sale ,"As a CISO

I want a capability to protect Personal Identification Information in the customer data while maintaining the structure for commercial purpose, such as analysing statistics, 

so that we are compliant with GDPR regulations, avoiding breaches while generate additional revenue.",Voltage,Jean-Charles Ripault,GALLIA,Carrefour,Project,"- Reduce Risk, 
- Grow Revenues",Logistics,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks","Name: Enable Business Service Lifecycle Management

Description: Support service management, assurance, security. Supports (compliance) audit
 
Value: Enabling the Digital Enterprise","Name: Centralized global IT inventory and topology

Description: Implement a CMS solution at enterprise scale (9 million CI)
 
Value: Central source of truth to support and improve ITSM processes",#NAME?,Continuous Operations,Configuration Management,One Single Source of Truth (CS),"As a Configuration Manager, 

I want a single source of truth presenting Service Models and (historical) information thus to support Service Fulfilment, Management and Assurance practices, better costs management (redundancies, licenses, etc.) and improve efficiency / effectiveness of response in case of crisis

So that we can deliver business applications better",uCMDB,Jean-Charles Ripault,GALLIA,Orange,Project,"- Improve Quality, 
- Reduce Risks",Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Name: Strengthening Governance for Alliances

Description: Both Renault and Nissan use Bosch as a manufacturer's option for navigation systems. Since test cases are different from those for Japan and Europe, the sharing of test cases allows for more efficient test management, quality control and failure information sharing.

Value: Governance compliance rate [100%]","Name: Improve Test Management

Description: Test management has been streamlined and optimized for car navigation testing. Test case management in Excel has been streamlined by using QC to create, update, execute, and register test cases. Automated test result capture has also been automated. 

Value: Improved management of test management reduces management time [50%]",% Increased output / productivity of development,Continuous Integration,Test Management,Optimize of Test management,"As a system developer

I want to share test cases, defects and other failures from car navigation tests to other parts of the company in order to reuse the test cases.

So that I can improve the quality and performance of test practices and produce navigation systems faster.",ALM QC,Hiroshi Nakai,JAPAN,"Nissan Motor Co., Ltd.",Project,Improve Quality,Automotive,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
